Ident,Type,Name,Elevation_ft,Continent,Iso_country,Iso_region,Municipality,Gps_code,Local_code,Coordinates
RU-0292,small_airport,Yuryevets Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-IVA,Yuryevets,RU-0292,RU-0292,"43.0966, 57.3373"
RU-0293,small_airport,Krasnogorye Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KOS,Krasnogorye,RU-0293,RU-0293,"43.6878, 57.7133"
RU-0294,small_airport,Udskoye Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KHA,Udskoye,RU-0294,RU-0294,"134.423046112, 54.5217291038"
RU-0295,heliport,Burevestnik Yacht-club Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Dolgoprudny,RU-0295,RU-0295,"37.5282, 55.9795"
RU-0296,heliport,Rechnoy Yacht-club Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-SPE,Saint Petersburg,RU-0296,RU-0296,"30.239106416699997, 59.963791847799996"
RU-0297,small_airport,Pereyaslavka Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KHA,Pereyaslavka,RU-0297,RU-0297,"135.089, 47.997"
RU-0298,small_airport,Marinovka Air Base,240.0,EU,RU,RU-VGG,Volgograd,RU-0298,RU-0298,"43.789, 48.637"
RU-0299,small_airport,Varfolomeyevka Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Arsenyev,RU-0299,RU-0299,"133.413, 44.261"
RU-0300,heliport,Lensovetovskiy Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-SPE,Saint Petersburg,RU-0300,RU-0300,"30.4800224304, 59.765504738400004"
RU-0301,heliport,Volen Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Yakhroma,RU-0301,RU-0301,"37.476253509500005, 56.2788410955"
RU-0302,heliport,Pridachinskaya Damba Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-VOR,Voronezh,RU-0302,RU-0302,"39.238754510899994, 51.67409209"
RU-0303,medium_airport,Privolzhskiy Air Base,-66.0,EU,RU,RU-AST,Astrakhan,RU-0303,RU-0303,"47.893, 46.396"
RU-0304,medium_airport,Kapustin Yar Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-AST,Znamensk,RU-0304,RU-0304,"45.732, 48.667"
RU-0305,small_airport,Srednyaya Akhtuba Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-AST,Srednyaya Akhtuba,RU-0305,RU-0305,"44.8650741577, 48.727902382299995"
RU-0306,closed,Beketovka Air Base,400.0,EU,RU,RU-VGG,Volgograd,RU-0306,RU-0306,"44.369, 48.551003"
RU-0307,small_airport,Kotelnikovo Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-VGG,Kotelnikovo,RU-0307,RU-0307,"43.095, 47.635"
RU-0308,small_airport,Romanovskaya Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Romanovskaya,RU-0308,RU-0308,"42.03, 47.53013307369999"
RU-0309,small_airport,Kholodnogorskiy Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-STA,Stavropol,RU-0309,RU-0309,"42.118, 44.983"
RU-0310,closed,Sal'sk Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Sal'sk,RU-0310,RU-0310,"41.519, 46.416"
RU-0311,closed,Mikhaylovka Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-VGG,Mikhaylovka,RU-0311,RU-0311,"43.338, 49.976"
RU-0312,small_airport,Belaya Kalitva Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Belaya Kalitva,RU-0312,RU-0312,"40.82, 48.217001"
RU-0313,small_airport,Zernograd Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Zernograd,RU-0313,RU-0313,"40.38, 46.835"
RU-0314,small_airport,Dubki Airfield,427.0,EU,RU,RU-SAR,Saratov,RU-0314,RU-0314,"46.059, 51.647"
RU-0315,small_airport,Zabelskiy Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-BA,Ufa,RU-0315,RU-0315,"55.9420824051, 54.7978028607"
RU-0316,small_airport,Loginovo Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-SVE,Loginovo,RU-0316,RU-0316,"61.3502311707, 56.64745040139999"
RU-0317,small_airport,Rozhdestveno Airfield,131.0,EU,RU,RU-SAM,Samara,RU-0317,RU-0317,"50.053, 53.25"
RU-0318,closed,Sokol Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ORE,Orsk,RU-0318,RU-0318,"58.605, 51.284"
RU-0319,closed,Kupino Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NVS,Kupino,RU-0319,RU-0319,"77.354, 54.352"
RU-0320,closed,Pervomayskiy Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-VLA,Pervomayskiy,RU-0320,RU-0320,"41.3566589355, 55.6702275936"
RU-0321,closed,Oryol Severny Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ORL,Oryol,RU-0321,RU-0321,"36.0287618637, 53.0044288837"
RU-0322,closed,Morshansk Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-TAM,Morshansk,RU-0322,RU-0322,"41.737, 53.44"
RU-0323,small_airport,Usman Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-LIP,Usman,RU-0323,RU-0323,"39.675, 52.025"
RU-0324,closed,Mordovo Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-TAM,Mordovo,RU-0324,RU-0324,"40.7843399048, 52.0783455164"
RU-0325,small_airport,Ryshkovo Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KRS,Kursk,RU-0325,RU-0325,"36.1818408966, 51.6561578589"
RU-0326,closed,Kamenka Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PNZ,Kamenka,RU-0326,RU-0326,"44.065, 53.205"
RU-0327,medium_airport,Vozdvizhenka Air Base,121.0,EU,RU,RU-PRI,Ussuriysk,RU-0327,RU-0327,"131.925008, 43.907501"
RU-0328,closed,Pristan Naval Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Shkotovo,RU-0328,RU-0328,"132.329, 43.243"
